Bus,busmap
AT10-220,AT0 55
AT11-220,AT0 34
AT12-380,AT0 46
AT13-380,AT0 32
AT16-220,AT0 3
AT17-380,AT0 48
AT2-380,AT0 38
AT20-220,AT0 25
AT3-380,AT0 30
AT4-220,AT0 11
AT5-380,AT0 50
AT6-380,AT0 23
AT9-220,AT0 15
way/101997887-380,AT0 22
way/1047447425-220,AT0 28
way/105065132-380,AT0 8
way/107248400-380,AT0 51
way/118060597-380,AT0 33
way/1203160522-220,AT0 27
way/134565164-380,AT0 53
way/140375658-380,AT0 10
way/145583866-220,AT0 19
way/152245073-220,AT0 14
way/162826525-380,AT0 1
way/180468540-220,AT0 42
way/210191809-220,AT0 20
way/24253250-400,AT0 21
way/24768685-220,AT0 47
way/27673934-380,AT0 49
way/27763479-380,AT0 29
way/27795895-380,AT0 52
way/30042006-380,AT0 0
way/30076588-220,AT0 17
way/318616912-380,AT0 16
way/38821658-380,AT0 41
way/38868243-380,AT0 57
way/50650855-220,AT0 37
way/59531071-380,AT0 31
way/603139216-220,AT0 9
way/61108302-220,AT0 6
way/636620861-380,AT0 5
way/694695942-380,AT0 13
way/727225348-380,AT0 2
way/765101679-220,AT0 56
way/81540198-380,AT0 54
way/81684898-380,AT0 7
way/83529203-220,AT0 35
way/83740194-380,AT0 44
way/83742801-380,AT0 24
way/84789829-220,AT0 36
way/852324809-220,AT0 43
way/86119428-220,AT0 39
way/88680218-220,AT0 12
way/89451551-220,AT0 26
way/89985993-220,AT0 40
way/93077882-220,AT0 4
way/943595603-380,AT0 18
way/95812231-220,AT0 45
BE10-380,BE0 9
BE13-220,BE0 39
BE14-380,BE0 11
BE15-380,BE0 16
BE17-220,BE0 20
BE5-380,BE0 40
BE6-380,BE0 17
BE7-380,BE0 12
BE8-380,BE0 37
BE9-380,BE0 32
relation/7578992-380,BE0 31
way/1001478336-220,BE0 27
way/103041283-220,BE0 41
way/103455240-225,BE0 26
way/114082368-220,BE0 29
way/121085952-380,BE0 25
way/124703985-380,BE0 21
way/1258230062-380,BE0 36
way/16584741-380,BE0 22
way/19783816-380,BE0 19
way/204940265-220,BE0 33
way/23136343-380,BE0 38
way/23136868-380,BE0 34
way/23151789-380,BE0 5
way/23175771-380,BE0 23
way/24552827-220,BE0 24
way/32002039-380,BE0 10
way/495688586-380,BE0 30
way/495688597-380,BE0 28
way/500788534-380,BE0 0
way/87529551-400,BE0 4
way/87763325-380,BE0 8
way/87772591-380,BE0 7
way/87772593-380,BE0 2
way/87779917-380,BE0 18
way/87807194-380,BE0 1
way/88373135-400,BE0 13
way/88799384-380,BE0 15
way/91142310-220,BE0 35
way/917345402-220,BE0 6
way/91752661-220,BE0 3
way/92007188-220,BE0 42
way/92015823-220,BE0 14
CH11-220,CH0 26
CH12-380,CH0 2
CH13-220,CH0 2
CH14-380,CH0 32
CH15-220,CH0 22
CH16-380,CH0 23
CH17-380,CH0 11
CH18-380,CH0 46
CH19-220,CH0 27
CH2-220,CH0 58
CH20-220,CH0 27
CH21-220,CH0 42
CH23-220,CH0 64
CH24-220,CH0 64
CH25-220,CH0 70
CH26-220,CH0 64
CH27-220,CH0 70
CH28-220,CH0 64
CH3-220,CH0 15
CH30-380,CH0 13
CH31-220,CH0 10
CH33-380,CH0 13
CH34-380,CH0 43
CH35-220,CH0 43
CH36-220,CH0 43
CH37-380,CH0 13
CH38-220,CH0 43
CH39-220,CH0 43
CH4-220,CH0 44
CH40-220,CH0 43
CH41-380,CH0 55
CH42-220,CH0 20
CH43-220,CH0 25
CH44-220,CH0 25
CH46-220,CH0 50
CH47-220,CH0 12
CH5-220,CH0 53
CH50-220,CH0 8
CH52-220,CH0 3
CH53-225,CH0 45
CH56-220,CH0 61
CH57-225,CH0 56
CH58-220,CH0 61
CH6-220,CH0 39
CH60-225,CH0 19
CH7-220,CH0 63
CH9-220,CH0 6
relation/5378910-220,CH0 36
relation/7933294-380,CH0 28
relation/9310861-220,CH0 60
way/108257952-220,CH0 59
way/109037817-380,CH0 38
way/1105061707-380,CH0 1
way/111162936-400,CH0 10
way/11282314-220,CH0 60
way/122720993-220,CH0 48
way/127004407-400,CH0 14
way/132373704-220,CH0 47
way/1327084723-220,CH0 20
way/140873735-220,CH0 17
way/146225999-220,CH0 54
way/147557680-220,CH0 40
way/147714395-380,CH0 15
way/148015471-220,CH0 60
way/159527493-220,CH0 67
way/161853746-220,CH0 36
way/165513396-380,CH0 35
way/177392130-400,CH0 56
way/190819048-220,CH0 16
way/192677427-380,CH0 2
way/194258388-220,CH0 7
way/207991759-380,CH0 69
way/207993342-380,CH0 42
way/208780268-380,CH0 57
way/210568055-380,CH0 41
way/211907009-220,CH0 11
way/212722603-380,CH0 33
way/22899676-220,CH0 15
way/234983117-380,CH0 65
way/236819191-220,CH0 12
way/238138373-380,CH0 19
way/239937062-220,CH0 3
way/240575085-220,CH0 39
way/240959264-220,CH0 0
way/242269161-220,CH0 34
way/26843160-220,CH0 30
way/27107779-220,CH0 29
way/27435934-220,CH0 5
way/281799252-220,CH0 9
way/281800404-220,CH0 49
way/281804158-380,CH0 55
way/281809991-220,CH0 21
way/281815404-220,CH0 61
way/281822905-220,CH0 20
way/30350721-220,CH0 31
way/31308888-220,CH0 53
way/33271433-220,CH0 35
way/35002638-380,CH0 52
way/356292116-380,CH0 16
way/35840165-380,CH0 4
way/364949845-380,CH0 50
way/365556107-220,CH0 68
way/391576135-220,CH0 50
way/391577741-220,CH0 50
way/397960460-400,CH0 38
way/402053379-220,CH0 66
way/402055336-220,CH0 62
way/431234146-220,CH0 64
way/455120191-220,CH0 6
way/50319857-400,CH0 58
way/52738225-380,CH0 24
way/55698557-225,CH0 45
way/71500123-380,CH0 42
way/758943072-220,CH0 37
way/802058337-225,CH0 65
way/89405664-220,CH0 63
way/89977424-220,CH0 53
way/92798668-220,CH0 18
way/936521586-380,CH0 19
way/969811258-380,CH0 51
way/969819301-380,CH0 50
way/98648381-380,CH0 4
DE10-380,DE0 103
DE100-380,DE0 373
DE102-380,DE0 328
DE104-380,DE0 214
DE105-220,DE0 432
DE106-220,DE0 420
DE107-380,DE0 483
DE109-220,DE0 266
DE11-380,DE0 467
DE110-380,DE0 2
DE113-220,DE0 146
DE114-380,DE0 403
DE118-220,DE0 252
DE119-380,DE0 371
DE12-380,DE0 140
DE121-380,DE0 67
DE122-220,DE0 358
DE124-380,DE0 418
DE125-380,DE0 399
DE126-220,DE0 442
DE127-380,DE0 441
DE129-220,DE0 321
DE13-380,DE0 436
DE131-220,DE0 430
DE132-220,DE0 419
DE133-380,DE0 172
DE134-380,DE0 117
DE135-220,DE0 243
DE136-380,DE0 224
DE137-380,DE0 482
DE138-380,DE0 164
DE139-380,DE0 396
DE14-380,DE0 218
DE140-380,DE0 415
DE144-380,DE0 223
DE145-220,DE0 368
DE147-380,DE0 475
DE148-380,DE0 352
DE15-220,DE0 5
DE150-380,DE0 74
DE152-380,DE0 43
DE153-380,DE0 39
DE154-380,DE0 417
DE155-380,DE0 281
DE156-380,DE0 129
DE157-380,DE0 365
DE158-380,DE0 200
DE159-380,DE0 25
DE16-220,DE0 338
DE161-380,DE0 440
DE162-380,DE0 330
DE163-220,DE0 60
DE165-380,DE0 134
DE168-380,DE0 339
DE169-220,DE0 89
DE17-380,DE0 115
DE170-380,DE0 355
DE172-380,DE0 437
DE173-220,DE0 376
DE174-220,DE0 356
DE175-220,DE0 229
DE176-220,DE0 412
DE177-220,DE0 398
DE178-380,DE0 466
DE179-220,DE0 188
DE18-380,DE0 453
DE180-220,DE0 267
DE181-380,DE0 474
DE182-380,DE0 236
DE183-220,DE0 212
DE184-380,DE0 185
DE185-380,DE0 473
DE186-380,DE0 87
DE187-380,DE0 426
DE188-380,DE0 351
DE189-380,DE0 476
DE19-380,DE0 261
DE190-380,DE0 448
DE191-380,DE0 280
DE192-380,DE0 235
DE193-380,DE0 481
DE194-220,DE0 178
DE195-380,DE0 431
DE196-380,DE0 255
DE197-380,DE0 85
DE198-380,DE0 407
DE199-380,DE0 211
DE201-220,DE0 7
DE202-380,DE0 325
DE203-220,DE0 390
DE204-220,DE0 246
DE205-380,DE0 463
DE206-220,DE0 465
DE207-380,DE0 210
DE208-380,DE0 443
DE209-380,DE0 71
DE21-220,DE0 253
DE211-220,DE0 357
DE212-220,DE0 108
DE213-380,DE0 444
DE22-380,DE0 354
DE23-380,DE0 264
DE24-380,DE0 450
DE25-380,DE0 346
DE26-380,DE0 362
DE27-380,DE0 464
DE28-380,DE0 348
DE29-220,DE0 347
DE30-380,DE0 292
DE31-380,DE0 99
DE33-380,DE0 231
DE34-380,DE0 452
DE36-220,DE0 369
DE37-220,DE0 456
DE39-220,DE0 196
DE40-220,DE0 471
DE41-380,DE0 461
DE43-220,DE0 251
DE45-380,DE0 402
DE46-380,DE0 154
DE49-380,DE0 409
DE50-380,DE0 240
DE51-220,DE0 406
DE53-380,DE0 220
DE56-380,DE0 19
DE57-380,DE0 391
DE6-380,DE0 324
DE61-380,DE0 282
DE62-380,DE0 143
DE64-220,DE0 472
DE65-380,DE0 305
DE66-380,DE0 278
DE67-380,DE0 372
DE68-380,DE0 383
DE69-380,DE0 424
DE7-220,DE0 72
DE70-380,DE0 478
DE72-220,DE0 201
DE73-380,DE0 378
DE74-380,DE0 477
DE75-380,DE0 455
DE76-380,DE0 334
DE77-380,DE0 439
DE78-220,DE0 468
DE79-220,DE0 337
DE8-380,DE0 295
DE80-380,DE0 297
DE81-220,DE0 438
DE82-220,DE0 458
DE84-220,DE0 484
DE85-380,DE0 247
DE86-220,DE0 377
DE87-380,DE0 401
DE88-380,DE0 411
DE89-380,DE0 181
DE9-380,DE0 126
DE91-380,DE0 333
DE93-220,DE0 303
DE94-380,DE0 367
DE95-380,DE0 449
DE96-380,DE0 421
DE97-220,DE0 462
DE98-220,DE0 413
relation/17591073-220,DE0 340
way/1024536785-380,DE0 100
way/102743264-220,DE0 242
way/1040551074-220,DE0 389
way/106096507-380,DE0 195
way/1068350839-380,DE0 184
way/1072574879-380,DE0 142
way/1076001174-380,DE0 395
way/1086825107-380,DE0 130
way/108797675-380,DE0 366
way/1089769599-380,DE0 249
way/1089911133-380,DE0 148
way/1091984573-380,DE0 155
way/1093896544-380,DE0 54
way/1094015892-380,DE0 51
way/109917397-380,DE0 124
way/1102237380-380,DE0 47
way/1107961833-380,DE0 381
way/1128250707-380,DE0 33
way/11285720-380,DE0 308
way/113546939-380,DE0 425
way/114319248-380,DE0 163
way/11500045-380,DE0 132
way/1191459479-220,DE0 232
way/121199242-380,DE0 315
way/1222597066-380,DE0 217
way/1223405794-380,DE0 294
way/1245826064-380,DE0 416
way/1280364401-380,DE0 445
way/1280840211-380,DE0 23
way/1303270458-380,DE0 206
way/1327333163-380,DE0 83
way/132814303-220,DE0 161
way/133342285-220,DE0 162
way/137602559-380,DE0 318
way/142487746-380,DE0 254
way/143854536-380,DE0 95
way/143882655-380,DE0 27
way/143903369-380,DE0 422
way/145002769-380,DE0 166
way/145680894-220,DE0 111
way/147521567-380,DE0 186
way/148446247-380,DE0 10
way/149256409-380,DE0 86
way/149987048-380,DE0 187
way/150200540-380,DE0 429
way/151967290-380,DE0 288
way/151967291-380,DE0 284
way/152018146-380,DE0 258
way/152107815-380,DE0 41
way/152261133-380,DE0 360
way/152403632-380,DE0 197
way/152924498-380,DE0 259
way/152924508-220,DE0 6
way/152973139-380,DE0 205
way/156402422-220,DE0 102
way/156673636-380,DE0 207
way/156673637-380,DE0 64
way/156676050-220,DE0 106
way/156960655-380,DE0 92
way/157164284-220,DE0 77
way/157328339-380,DE0 36
way/157806991-380,DE0 22
way/160584794-380,DE0 18
way/160929097-220,DE0 244
way/167352587-220,DE0 159
way/169244940-380,DE0 300
way/170123812-400,DE0 285
way/18629425-380,DE0 113
way/198448981-380,DE0 127
way/202747445-380,DE0 180
way/206289192-380,DE0 203
way/207248812-380,DE0 387
way/22720647-380,DE0 388
way/22761692-380,DE0 349
way/22761839-380,DE0 62
way/22765517-380,DE0 363
way/22766160-380,DE0 343
way/22767509-380,DE0 139
way/22796434-220,DE0 392
way/22944791-220,DE0 414
way/22960899-380,DE0 31
way/22964137-380,DE0 290
way/22973052-220,DE0 277
way/22973070-380,DE0 332
way/23022100-380,DE0 454
way/23067006-380,DE0 459
way/23084554-380,DE0 241
way/23192640-220,DE0 380
way/23284340-380,DE0 263
way/23380800-380,DE0 428
way/234171369-380,DE0 222
way/23583867-380,DE0 20
way/23641079-380,DE0 400
way/23744346-220,DE0 239
way/23899043-380,DE0 310
way/24042358-380,DE0 183
way/24158385-220,DE0 28
way/24230738-380,DE0 144
way/24237879-220,DE0 42
way/24258096-380,DE0 50
way/24262656-380,DE0 1
way/24267175-220,DE0 274
way/24272339-380,DE0 298
way/24413992-380,DE0 125
way/24462317-220,DE0 451
way/24462426-380,DE0 213
way/24478889-380,DE0 79
way/24479003-380,DE0 460
way/24479984-380,DE0 350
way/24493551-380,DE0 384
way/24502420-380,DE0 397
way/24604789-380,DE0 199
way/24667346-380,DE0 40
way/24685992-380,DE0 96
way/24705761-380,DE0 105
way/24757392-380,DE0 49
way/24757393-380,DE0 191
way/24757833-380,DE0 73
way/24758329-380,DE0 189
way/24759324-220,DE0 151
way/24765111-220,DE0 382
way/24768051-220,DE0 8
way/24799890-380,DE0 317
way/24839976-380,DE0 326
way/24921206-380,DE0 82
way/24976300-380,DE0 52
way/25051880-220,DE0 405
way/25306752-380,DE0 46
way/25306938-380,DE0 194
way/25746125-380,DE0 272
way/25786404-380,DE0 336
way/25943440-380,DE0 109
way/259561755-380,DE0 120
way/26245195-380,DE0 233
way/26260052-380,DE0 296
way/26383042-380,DE0 9
way/26404600-380,DE0 0
way/26472665-380,DE0 34
way/26474759-380,DE0 150
way/266684854-380,DE0 309
way/26814283-380,DE0 24
way/26927264-380,DE0 262
way/27124619-220,DE0 93
way/27149550-380,DE0 63
way/274603394-380,DE0 470
way/274621059-220,DE0 80
way/274630377-380,DE0 29
way/275466323-380,DE0 331
way/27646106-220,DE0 260
way/27739871-380,DE0 44
way/27871140-220,DE0 270
way/27919734-380,DE0 147
way/28008024-220,DE0 156
way/28327356-380,DE0 219
way/28343121-380,DE0 75
way/28397771-220,DE0 116
way/28452784-220,DE0 313
way/28613721-380,DE0 17
way/28729619-380,DE0 301
way/28812249-220,DE0 177
way/28956649-380,DE0 30
way/289836713-380,DE0 312
way/29077623-380,DE0 275
way/29084374-380,DE0 128
way/29309786-380,DE0 121
way/29331499-380,DE0 174
way/29374542-220,DE0 276
way/29472852-380,DE0 248
way/29713902-380,DE0 14
way/30017786-220,DE0 342
way/30039908-380,DE0 70
way/30040568-380,DE0 11
way/30132758-380,DE0 286
way/30164703-380,DE0 250
way/30303506-380,DE0 265
way/30613895-380,DE0 193
way/30954714-380,DE0 4
way/31024391-380,DE0 374
way/31105067-380,DE0 306
way/31131320-380,DE0 173
way/31131325-380,DE0 76
way/31367936-220,DE0 35
way/31367940-380,DE0 169
way/31653753-380,DE0 26
way/31762305-220,DE0 394
way/32042992-380,DE0 423
way/32076853-380,DE0 84
way/32151621-220,DE0 37
way/32318130-220,DE0 221
way/32472806-380,DE0 410
way/32690742-380,DE0 135
way/32725957-220,DE0 149
way/32843531-380,DE0 68
way/32904794-380,DE0 123
way/32966636-220,DE0 170
way/33042984-220,DE0 190
way/33169401-380,DE0 171
way/33411203-380,DE0 335
way/33816726-380,DE0 238
way/35176751-380,DE0 53
way/35763480-380,DE0 393
way/373967500-380,DE0 228
way/37554416-220,DE0 353
way/37721677-380,DE0 427
way/37764852-380,DE0 65
way/38325076-380,DE0 198
way/38584673-220,DE0 480
way/38661452-380,DE0 208
way/395847307-380,DE0 209
way/39688875-220,DE0 237
way/398680313-380,DE0 101
way/409305507-220,DE0 314
way/41232144-380,DE0 323
way/41334805-380,DE0 287
way/41389594-380,DE0 137
way/414169327-380,DE0 55
way/42050342-380,DE0 81
way/42097854-380,DE0 215
way/42372159-380,DE0 66
way/42410916-380,DE0 302
way/42423415-380,DE0 311
way/42488850-380,DE0 104
way/42507488-380,DE0 160
way/42560068-380,DE0 256
way/42681484-380,DE0 202
way/42736239-380,DE0 133
way/42797575-380,DE0 145
way/42799487-380,DE0 58
way/42861703-380,DE0 385
way/43163132-380,DE0 341
way/43688805-380,DE0 299
way/442199284-380,DE0 204
way/449010725-380,DE0 152
way/456386244-380,DE0 370
way/46584363-380,DE0 379
way/46615737-380,DE0 359
way/48057110-380,DE0 234
way/48428875-380,DE0 364
way/49577401-380,DE0 320
way/499165542-380,DE0 307
way/50729129-220,DE0 90
way/50898216-380,DE0 283
way/515358077-380,DE0 386
way/517421342-380,DE0 268
way/518455594-380,DE0 118
way/525964629-380,DE0 433
way/53378027-380,DE0 38
way/54359256-380,DE0 12
way/55069713-380,DE0 182
way/559702819-380,DE0 141
way/57727004-380,DE0 131
way/59707532-380,DE0 69
way/59925390-380,DE0 293
way/60032354-220,DE0 291
way/600395952-380,DE0 230
way/603661085-380,DE0 98
way/61918154-380,DE0 329
way/63114179-380,DE0 279
way/66038431-220,DE0 136
way/66764943-220,DE0 48
way/672738029-220,DE0 344
way/683227471-380,DE0 78
way/68532663-220,DE0 273
way/68549340-380,DE0 345
way/76246159-380,DE0 176
way/77038371-380,DE0 21
way/77694901-220,DE0 56
way/77697810-380,DE0 271
way/78441561-380,DE0 112
way/796306640-380,DE0 289
way/797009308-380,DE0 375
way/810315511-380,DE0 225
way/82773910-400,DE0 316
way/829116805-380,DE0 167
way/851299584-380,DE0 192
way/85523877-380,DE0 179
way/870598507-380,DE0 61
way/871646309-380,DE0 434
way/87653464-400,DE0 13
way/87722999-380,DE0 446
way/87767098-380,DE0 304
way/883768276-380,DE0 168
way/883768277-380,DE0 457
way/883928228-380,DE0 322
way/883928229-380,DE0 447
way/88916034-380,DE0 88
way/88945213-380,DE0 216
way/89043564-380,DE0 327
way/89176939-220,DE0 227
way/89215122-220,DE0 158
way/90148336-220,DE0 361
way/907539360-380,DE0 15
way/91854336-380,DE0 469
way/92165128-380,DE0 107
way/93278553-220,DE0 404
way/933248930-220,DE0 122
way/93341407-380,DE0 3
way/940922557-380,DE0 97
way/941198517-380,DE0 59
way/941453716-380,DE0 32
way/941805476-380,DE0 110
way/942448206-380,DE0 153
way/942771541-380,DE0 57
way/943135226-380,DE0 16
way/943939310-380,DE0 157
way/946025110-380,DE0 91
way/946710698-220,DE0 165
way/947118608-380,DE0 226
way/948341123-380,DE0 45
way/951273401-380,DE0 479
way/951773852-380,DE0 269
way/952004951-380,DE0 119
way/952346322-380,DE0 114
way/953015049-380,DE0 257
way/953757606-380,DE0 175
way/953757608-380,DE0 319
way/954971276-220,DE0 94
way/955268863-380,DE0 138
way/957746797-380,DE0 245
way/97825259-380,DE0 408
way/979801144-380,DE0 435
ES1-400,ES0 143
ES10-220,ES0 63
ES100-220,ES0 83
ES101-220,ES0 186
ES102-220,ES0 186
ES103-400,ES0 236
ES104-220,ES0 186
ES105-220,ES0 217
ES106-220,ES0 186
ES108-220,ES0 163
ES109-220,ES0 229
ES11-220,ES0 109
ES117-220,ES0 9
ES12-400,ES0 253
ES121-220,ES0 128
ES124-220,ES0 128
ES125-400,ES0 1
ES126-400,ES0 191
ES127-220,ES0 62
ES128-400,ES0 155
ES129-220,ES0 88
ES13-220,ES0 42
ES130-220,ES0 269
ES133-400,ES0 265
ES134-400,ES0 235
ES135-220,ES0 242
ES136-220,ES0 155
ES139-220,ES0 212
ES14-400,ES0 109
ES140-220,ES0 214
ES143-400,ES0 34
ES144-400,ES0 212
ES145-220,ES0 102
ES147-220,ES0 261
ES148-220,ES0 102
ES151-220,ES0 261
ES152-220,ES0 34
ES153-220,ES0 273
ES154-220,ES0 46
ES155-220,ES0 34
ES158-220,ES0 108
ES159-220,ES0 40
ES160-220,ES0 46
ES161-220,ES0 256
ES162-400,ES0 256
ES164-400,ES0 108
ES165-220,ES0 244
ES167-400,ES0 151
ES168-220,ES0 256
ES169-220,ES0 255
ES170-400,ES0 139
ES171-220,ES0 255
ES172-220,ES0 178
ES173-220,ES0 255
ES174-220,ES0 178
ES175-220,ES0 77
ES176-220,ES0 216
ES18-400,ES0 239
ES180-400,ES0 10
ES182-220,ES0 149
ES183-220,ES0 149
ES185-400,ES0 140
ES186-400,ES0 93
ES187-220,ES0 221
ES190-400,ES0 93
ES191-220,ES0 195
ES193-220,ES0 127
ES194-220,ES0 93
ES196-400,ES0 39
ES197-400,ES0 124
ES199-400,ES0 124
ES20-400,ES0 63
ES200-400,ES0 33
ES201-400,ES0 225
ES203-400,ES0 208
ES204-400,ES0 81
ES205-400,ES0 105
ES206-400,ES0 81
ES207-400,ES0 81
ES208-400,ES0 99
ES209-220,ES0 150
ES21-220,ES0 234
ES210-400,ES0 99
ES212-400,ES0 69
ES213-220,ES0 99
ES214-220,ES0 222
ES218-220,ES0 222
ES22-400,ES0 25
ES222-400,ES0 173
ES223-220,ES0 44
ES226-220,ES0 44
ES227-220,ES0 44
ES228-400,ES0 44
ES23-400,ES0 115
ES231-220,ES0 44
ES233-220,ES0 44
ES234-220,ES0 223
ES236-220,ES0 223
ES237-220,ES0 223
ES238-220,ES0 44
ES239-220,ES0 223
ES240-220,ES0 167
ES241-220,ES0 223
ES243-400,ES0 6
ES247-220,ES0 82
ES248-220,ES0 111
ES249-400,ES0 180
ES25-400,ES0 239
ES250-400,ES0 61
ES251-220,ES0 101
ES252-220,ES0 111
ES253-220,ES0 101
ES255-220,ES0 45
ES256-400,ES0 45
ES257-400,ES0 45
ES258-400,ES0 264
ES259-220,ES0 36
ES26-400,ES0 206
ES261-220,ES0 228
ES263-220,ES0 275
ES264-220,ES0 183
ES265-220,ES0 264
ES266-220,ES0 19
ES267-400,ES0 250
ES269-220,ES0 19
ES27-220,ES0 25
ES272-220,ES0 189
ES273-220,ES0 270
ES274-220,ES0 270
ES275-220,ES0 133
ES278-220,ES0 219
ES279-400,ES0 219
ES28-220,ES0 253
ES280-400,ES0 75
ES285-220,ES0 131
ES287-220,ES0 159
ES29-400,ES0 18
ES290-220,ES0 159
ES291-220,ES0 159
ES292-400,ES0 159
ES293-400,ES0 246
ES294-220,ES0 198
ES296-220,ES0 12
ES299-400,ES0 12
ES3-220,ES0 197
ES30-400,ES0 42
ES302-400,ES0 175
ES306-220,ES0 220
ES309-220,ES0 31
ES31-400,ES0 63
ES310-220,ES0 78
ES313-220,ES0 267
ES315-400,ES0 97
ES316-220,ES0 248
ES32-220,ES0 253
ES320-220,ES0 17
ES321-400,ES0 188
ES323-220,ES0 122
ES324-220,ES0 237
ES325-220,ES0 104
ES327-220,ES0 104
ES328-220,ES0 145
ES329-400,ES0 13
ES33-400,ES0 253
ES330-400,ES0 57
ES331-220,ES0 168
ES332-220,ES0 57
ES337-220,ES0 168
ES338-220,ES0 60
ES339-220,ES0 137
ES34-220,ES0 205
ES340-220,ES0 194
ES341-220,ES0 50
ES342-220,ES0 141
ES344-220,ES0 194
ES346-220,ES0 271
ES347-220,ES0 16
ES348-220,ES0 119
ES349-220,ES0 119
ES35-400,ES0 187
ES350-220,ES0 72
ES351-220,ES0 119
ES352-220,ES0 119
ES353-220,ES0 119
ES354-220,ES0 72
ES355-220,ES0 119
ES356-220,ES0 243
ES357-220,ES0 241
ES358-220,ES0 72
ES36-220,ES0 205
ES360-400,ES0 107
ES361-400,ES0 132
ES362-400,ES0 132
ES363-220,ES0 15
ES365-220,ES0 121
ES366-400,ES0 66
ES367-220,ES0 129
ES369-220,ES0 129
ES37-400,ES0 205
ES370-220,ES0 129
ES371-220,ES0 245
ES372-220,ES0 129
ES373-220,ES0 245
ES374-220,ES0 20
ES375-220,ES0 20
ES376-220,ES0 47
ES378-220,ES0 251
ES379-220,ES0 161
ES38-400,ES0 166
ES381-220,ES0 58
ES382-220,ES0 181
ES39-220,ES0 227
ES40-400,ES0 224
ES43-220,ES0 110
ES44-220,ES0 55
ES46-220,ES0 106
ES48-220,ES0 55
ES49-220,ES0 110
ES50-220,ES0 179
ES51-220,ES0 193
ES52-220,ES0 213
ES55-220,ES0 4
ES56-220,ES0 202
ES58-220,ES0 202
ES6-220,ES0 171
ES60-220,ES0 117
ES62-220,ES0 117
ES65-220,ES0 272
ES68-400,ES0 79
ES69-220,ES0 89
ES7-220,ES0 171
ES71-220,ES0 147
ES72-220,ES0 92
ES73-400,ES0 54
ES74-220,ES0 65
ES75-220,ES0 185
ES77-400,ES0 54
ES78-400,ES0 54
ES8-400,ES0 239
ES81-220,ES0 54
ES84-220,ES0 24
ES87-220,ES0 68
ES88-220,ES0 158
ES9-400,ES0 206
ES90-220,ES0 100
ES92-220,ES0 112
ES93-220,ES0 158
ES94-220,ES0 160
ES95-220,ES0 112
ES97-400,ES0 38
ES98-220,ES0 236
ES99-220,ES0 176
relation/15715982-400,ES0 41
relation/16809528-400,ES0 255
relation/17148268-400,ES0 19
relation/17319555-220,ES0 220
relation/17444204-400,ES0 207
relation/17678185-220,ES0 56
relation/17805735-220,ES0 269
way/101078312-220,ES0 9
way/101953901-400,ES0 99
way/1028926498-400,ES0 148
way/103158873-400,ES0 236
way/103190094-220,ES0 89
way/103511952-400,ES0 54
way/104020696-400,ES0 34
way/104026138-220,ES0 152
way/104370242-400,ES0 55
way/104730022-220,ES0 236
way/105259481-400,ES0 206
way/110506713-220,ES0 244
way/111584995-220,ES0 162
way/1141933143-400,ES0 259
way/1153834517-400,ES0 268
way/1154224087-225,ES0 67
way/115680075-400,ES0 209
way/118057369-400,ES0 73
way/118641117-220,ES0 14
way/1218840771-400,ES0 118
way/1232240349-220,ES0 40
way/124121964-400,ES0 256
way/1243143644-220,ES0 42
way/1245390527-220,ES0 176
way/1246090890-220,ES0 96
way/1246115410-400,ES0 133
way/1252105002-220,ES0 44
way/1252514183-220,ES0 215
way/1255236015-220,ES0 35
way/1257151190-220,ES0 244
way/126100935-220,ES0 256
way/1262644008-220,ES0 46
way/1262722032-400,ES0 181
way/1262722037-220,ES0 181
way/1262731213-400,ES0 181
way/1266061515-220,ES0 212
way/1266081844-400,ES0 21
way/1266109989-400,ES0 230
way/1267694217-400,ES0 98
way/1267909080-220,ES0 128
way/126881765-400,ES0 7
way/126987023-400,ES0 12
way/1273759380-220,ES0 257
way/127528728-220,ES0 113
way/1275359449-220,ES0 156
way/127605081-220,ES0 45
way/1277630152-400,ES0 86
way/127787669-400,ES0 93
way/128873801-220,ES0 194
way/129441519-400,ES0 199
way/129767234-400,ES0 216
way/134884956-400,ES0 41
way/140011919-400,ES0 124
way/140781473-220,ES0 65
way/143207685-400,ES0 214
way/143207686-220,ES0 214
way/143483652-220,ES0 186
way/143483653-220,ES0 229
way/143483666-400,ES0 186
way/144138407-220,ES0 261
way/144138410-220,ES0 261
way/144138420-400,ES0 211
way/144156731-220,ES0 112
way/144297377-220,ES0 203
way/144297424-220,ES0 186
way/144297438-220,ES0 118
way/144306676-220,ES0 184
way/144312477-220,ES0 5
way/144312479-220,ES0 231
way/144327151-220,ES0 157
way/144327157-400,ES0 149
way/144487932-400,ES0 196
way/144767090-400,ES0 84
way/144767096-400,ES0 51
way/144787749-400,ES0 119
